Times,Distance,Angle
06-Sep-2023 13:53:03,18.02,1.5707963267949
06-Sep-2023 13:53:02,18.25,1.48352986419518
06-Sep-2023 13:53:01,18.45,1.39626340159546
06-Sep-2023 13:53:00,18.85,1.30899693899575
06-Sep-2023 13:52:58,19.03,1.22173047639603
06-Sep-2023 13:52:57,19.56,1.13446401379631
06-Sep-2023 13:52:56,20.94,1.0471975511966
06-Sep-2023 13:52:55,22.58,0.959931088596881
06-Sep-2023 13:52:53,23.54,0.872664625997165
06-Sep-2023 13:52:52,21.67,0.785398163397448
